X,Y,Z,Type,Name,street,HouseNumbe,neighborho,Operator,Seats,Activity,fencing,lighting,handicappe,handicap_1,yearOfEsta,condition,Owner,ForSchool,associatio,SportType,Id
34.779366264000004,31.270354938,0,מגרש טניס,מכללת קיי,יהודה הלוי,0.0,ו' החדשה,מכללת קיי,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3207
34.790704801000096,31.230468483000003,0,מגרש כדורסל – 19X32 מ',מענית,כיכר הגנים,0.0,נווה נוי,ניהול עצמי,0.0,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,מענית,,,3208
34.801092856,31.252697283000003,0,"אצטדיון/מסלול אתלטיקה קלה – 6-4 מסלולים, 250 או 300 מ'",מקיף א',דרך השלום,15.0,ג',כיוונים,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,מקיף א',,,3209
34.7827318510001,31.256288752,0,"אצטדיון/מסלול אתלטיקה קלה – 6-4 מסלולים, 250 או 300 מ'",מקיף ג',דרך שמשון,1.0,ב',כיוונים,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,מקיף ג',,,3210
34.7830568460001,31.256393218000003,0,אולם ספורט בינוני – 32x19 מ',מקיף ג',דרך שמשון,1.0,ב',כיוונים,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,מקיף ג',הפועל,כדורסל,3211
34.7623993190001,31.262886613000003,0,מגרש ספורט משולב – 43X32 מ',מקיף טוביהו,דוד הראובני,27.0,נחל עשן,כיוונים,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,טוביהו,,,3212
34.7624228390001,31.263333122000102,0,אולם ספורט גדול - 45X24 מ',מקיף טוביהו,דוד הראובני,27.0,נחל עשן,כיוונים,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,טוביהו,"הפועל, מכבי דרום, כיוונים","טנ""ש, התעמלות אומנותית וכדורסל",3213
34.7928530230001,31.252142728000003,0,מגרש ספורט משולב – 43X32 מ',מקיף ח',המשחררים,0.0,א,כיוונים,0.0,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,מקיף ח',,,3214
34.787083933000105,31.254879191,0,מגרש כדורגל – 45X90 מ',מגרש אימונים וסרמיל,יהודה הלוי,0.0,ב',כיוונים,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,,3215
34.796685306,31.268204158000103,0,מגרש מיני פיץ',ד' מרכז- מגרש ארסנל,,0.0,ד',כיוונים,0.0,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,לא,כדורגל,3216
